,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
0,7.123851640967086,1.0,4,2,3,1,0,0,0,1,2,1,0
1,7.088136088700551,0.9949864828653723,4,4,4,1,0,0,0,1,3,0,0
2,7.088136088700551,0.9949864828653723,3,2,2,1,0,1,0,0,2,1,1
3,7.086893471309455,0.9948120523109865,4,2,2,1,0,1,0,1,3,1,0
4,7.057285644418215,0.9906558979743387,4,1,2,1,1,1,0,1,2,0,0
5,7.035429738184549,0.9875879078848232,3,3,1,1,0,1,0,1,2,1,1
6,7.006466042249231,0.9835221724659725,4,3,4,1,0,0,0,1,2,1,1
7,7.006466042249231,0.9835221724659725,5,3,2,1,0,0,0,0,0,0,2
8,6.994317152669637,0.981816790294658,4,1,2,1,1,1,0,1,2,1,0
9,6.991226075692495,0.9813828849955406,3,2,4,1,1,0,0,1,1,1,2
10,6.991226075692495,0.9813828849955406,3,1,2,1,0,1,0,1,2,1,0
11,6.9859202201235675,0.9806380834701389,4,3,2,1,1,1,1,0,2,0,1
12,6.968949680981343,0.9782558694660415,4,2,2,1,0,0,0,1,1,1,1
13,6.9656719712201065,0.9777957658695001,4,2,2,1,0,0,1,0,2,0,0
14,6.9656719712201065,0.9777957658695001,3,2,2,1,0,0,0,0,0,1,1
15,6.959041392321094,0.9768650082915513,4,1,2,1,0,1,0,0,2,0,1
16,6.959041392321094,0.9768650082915513,4,2,2,1,1,1,0,1,1,1,2
17,6.952308009662125,0.9759198197898359,3,2,4,1,0,0,0,1,2,0,0
18,6.948901760970213,0.9754416727334986,3,2,2,1,1,0,0,1,2,0,0
19,6.947188565526093,0.9752011854900153,3,2,2,1,0,0,0,1,1,1,1
20,6.942008053022313,0.9744739788095746,3,1,2,1,0,1,1,0,2,0,1
21,6.938519725176492,0.9739843100149914,3,2,1,1,1,1,0,1,2,0,2
22,6.9367649976099415,0.9737379927620522,3,1,1,1,1,1,0,1,1,0,0
23,6.9367649976099415,0.9737379927620522,3,2,2,1,1,1,0,1,1,0,0
24,6.933234128714808,0.9732423523314138,3,2,2,1,0,0,0,1,2,0,0
25,6.931457870689005,0.9729930127725172,4,2,2,1,1,1,0,1,2,1,0
26,6.927524340875029,0.9724408494187275,3,2,4,1,1,1,0,1,0,1,1
27,6.924279286061882,0.9719853297115952,3,1,1,1,0,0,0,0,1,0,1
28,6.924279286061882,0.9719853297115952,5,2,2,1,0,1,1,0,2,0,2
29,6.924279286061882,0.9719853297115952,4,2,2,1,0,1,0,1,1,1,1
30,6.924279286061882,0.9719853297115952,3,2,4,1,0,0,0,1,2,0,2
31,6.924279286061882,0.9719853297115952,3,1,4,1,0,0,0,1,2,0,1
32,6.918816390360379,0.9712184839128861,4,2,2,1,0,0,0,1,1,1,0
33,6.913283901760418,0.9704418691153313,3,3,2,1,1,1,0,0,1,0,2
34,6.909556029241175,0.9699185745961408,5,1,2,1,1,1,0,1,1,0,0
35,6.907461882193941,0.9696246118421734,3,2,4,1,0,0,0,1,2,0,0
36,6.905418068702542,0.9693377145856886,3,2,3,1,0,0,1,0,1,1,0
37,6.90200289135073,0.9688583141820961,4,2,4,1,0,0,0,1,2,0,0
38,6.901049445343407,0.9687244756274244,3,1,4,1,1,0,0,1,2,0,2
39,6.898176483497677,0.9683211879130638,4,2,4,1,0,0,0,1,1,0,1
40,6.896250562461638,0.9680508396333546,3,1,2,1,0,1,0,1,0,1,0
41,6.894316062684439,0.967779287125709,3,2,4,1,0,0,0,1,0,1,0
42,6.886490725172482,0.9666808170976479,3,2,4,1,0,0,0,1,2,0,2
43,6.886490725172482,0.9666808170976479,4,2,4,1,0,0,0,0,2,0,1
44,6.878521795501206,0.9655621905353752,4,2,4,1,0,0,0,1,1,0,0
45,6.878521795501206,0.9655621905353752,3,2,3,1,0,0,0,1,0,0,1
46,6.876506504265881,0.9652792970478499,3,2,4,1,0,0,0,1,1,0,0
47,6.874481817699467,0.9649950847048008,3,1,4,1,0,0,0,1,3,1,0
48,6.872447647789014,0.9647095411515416,3,2,2,1,0,1,0,0,1,0,2
49,6.870403905279027,0.9644226538589661,3,2,1,1,1,1,0,1,0,1,1
50,6.870403905279027,0.9644226538589661,3,2,4,1,0,0,0,0,1,1,2
51,6.870403905279027,0.9644226538589661,3,1,4,1,0,0,0,1,1,0,2
52,6.866287339084195,0.9638447970474684,4,2,4,1,1,0,0,1,1,0,0
53,6.866287339084195,0.9638447970474684,3,2,4,1,0,0,0,1,2,0,1
54,6.866287339084195,0.9638447970474684,3,2,2,1,1,0,0,1,1,0,1
55,6.866287339084195,0.9638447970474684,3,1,2,1,0,0,0,1,1,0,2
56,6.865873528207815,0.9637867089657345,4,1,2,1,0,1,0,0,1,1,1
57,6.860038389807193,0.9629676101558904,4,2,4,1,1,0,0,1,1,1,0
58,6.857935264719429,0.9626723871229359,4,2,4,1,1,0,0,1,1,0,1
59,6.857935264719429,0.9626723871229359,3,2,4,1,1,0,0,1,1,0,0
